university,url,overview
Uni Erl.-Nuernb./Erlangen,https://www.doc.zuv.fau.de//L1/Promotion_und_Habilitation/Promotion_Tech/konsolidierte_Fassungen/FPromO_Tech_20130121_idF_20201223.pdf,https://www.fau.de/fau/rechtsgrundlagen/promotions-und-habilitationsordnungen/#collapse_6
Uni Frankfurt a.M.,https://www.grade.uni-frankfurt.de/128697807/UniReport___Promotionsordnung_26_04_2022.pdf,https://www.grade.uni-frankfurt.de/52285880/Mediathek_Promotionsordnungen
TU Bergakademie Freiberg,https://tu-freiberg.de/sites/default/files/2024-04/promotionsordnung-fakultaet_1_23-2017.pdf,https://tu-freiberg.de/grafa/promovierende/promotionsprozess-promotionsamt-dokumente/dokumente
Uni Freiburg,https://www.tf.uni-freiburg.de/de/forschung/promotion/Promotionsordnungvom01.Okt.2016neuePromotionsordnung.pdf,https://www.tf.uni-freiburg.de/de/forschung/promotion/promotionsordnungen
Uni Goettingen,https://www.uni-goettingen.de/de/document/download/e96b4bf377bb5e250822be14b577ae65.pdf/GAUSS%20Promotionsordnung.pdf,https://www.uni-goettingen.de/de/51615.html
Uni Halle-Wittenberg,https://www.verwaltung.uni-halle.de/KANZLER/ZGST/ABL/2016/16_07_02.pdf,https://www.natfak3.uni-halle.de/ordnungen/
TU Hamburg,https://www.tuhh.de/tuhh/nach-dem-studium/promotion-und-habilitation/promotionsordnung,https://www.tuhh.de/tuhh/tu-hamburg/struktur/verwaltung-und-zentrale-einrichtungen/ra-rechtsreferat/ordnungen-richtlinien
Uni Hamburg,https://www.promovieren.uni-hamburg.de/min/promotion/pdf-promotion/prom-ordnung.pdf,https://www.uni-hamburg.de/campuscenter/studienorganisation/ordnungen-satzungen/promotionsordnungen.html
Uni Hannover Dr. rer. nat.,https://www.fei.uni-hannover.de/fileadmin/fei/Dateien-Forschung/Formulare_Promotion/vkb_22_04_PromO_Dr-rer-nat_2022.pdf,https://www.fei.uni-hannover.de/de/forschung/promotion
Uni Hannover Dr. ing.,https://www.fei.uni-hannover.de/fileadmin/fei/Dateien-Forschung/PromOrdn_alt/vkb_22_04_PromO_Dr-Ing_2022.pdf,https://www.fei.uni-hannover.de/de/forschung/promotion
Uni Heidelberg,https://www.uni-heidelberg.de/de/dokumente/promotionsordnung-fuer-die-naturwissenschaftlich-mathematische-gesamtfakultaet-2024-03-20/download,https://www.uni-heidelberg.de/de/studium/studienorganisation/downloadcenter/studien-und-pruefungsordnungen/fakultaet-fuer-mathematik-und-informatik
Uni Hildesheim,https://www.uni-hildesheim.de/qm/processmanagement/document.php?docID=9276,https://www.uni-hildesheim.de/fb4/institute/imai/forschung/promotionen/promotionsordnungen/
TU Ilmenau,https://www.tu-ilmenau.de/fileadmin/Bereiche/Forschung/Wissenschaftliche_Karriere/Dokumente/01_PRO-AB-aend_10_Lesefassung.pdf,https://www.tu-ilmenau.de/forschung/wissenschaftliche-karriere/vor-der-promotion
Uni Jena,https://www.hanfried.uni-jena.de/vhbmedia/8545/promotionsordnung-fakultaet-fuer-mathematik-und-informatik.pdf,https://www.uni-jena.de/16010/promotionsordnungen
RPTU Kaiserslautern-Landau/KL,https://phd.cs.rptu.de/regulations/ordn2de/Promotionsordnung.genehmigt.pdf,https://cs.rptu.de/studium/studierende/ordnungen/
Karlsruher Inst. f. Technologie KIT,https://www.informatik.kit.edu/downloads/promotion/2017/%20%20Promotionsordnung/Promotionsordnung_2017.pdf,https://www.informatik.kit.edu/2008.php
Uni Kassel,https://www.uni-kassel.de/eecs/index.php?eID=dumpFile&t=f&f=38835&token=de1d67bd2c47dca918294d536d98ff3bb5ebfd72,https://www.uni-kassel.de/eecs/forschung/promotionen
Uni Kiel,http://www.studservice.uni-kiel.de/sta/promotionsordnung-mathematisch-naturwissenschaftliche-und-technische-fakultaet.pdf,https://www.studium.uni-kiel.de/de/rechtsvorschriften/promotionsordnungen
Uni Koblenz,https://www.uni-koblenz.de/de/verwaltung/rechtsangelegenheiten-studium-lehre/rechtsangelegenheiten/rechtsvorschriften-studium-dateien/promotion/promotion4/promofbfneu2018/@@download/file,https://www.uni-koblenz.de/de/verwaltung/rechtsangelegenheiten-studium-lehre/rechtsangelegenheiten/rechtsvorschriften-studium-dateien/promotion/promotion4
Uni Konstanz,https://www.uni-konstanz.de/securedl/sdl-eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MTk4NTM4NDMsImV4cCI6MTcyMDU0NTA0MywidXNlciI6MCwiZ3JvdXBzIjpbMCwtMV0sImZpbGUiOiJmaWxlYWRtaW4vaW5mb2tvc21vc190eXAwL2p1c3RpemlhcmlhdC9TdHVkaWVyZW4vSW1fU3R1ZGl1bS9Qcm9tb3Rpb25zb3JkbnVuZy9HXzFfMF9Qcm9tb3Rpb25zb3JkbnVuZ19KdW5pMjAxNV9laW5zY2hsYWxsZXJBRW5kZXJ1bmdlbl9iaXNNYWVyejIwMjQucGRmIiwicGFnZSI6NjExNzR9.ttg1nv6NAoc0jeuJOzhEeAtC2UASfEtE0aTdjj-yj9g/G_1_0_Promotionsordnung_Juni2015_einschlallerAEnderungen_bisMaerz2024.pdf,https://www.uni-konstanz.de/studieren/im-studium/pruefungen/pruefungsordnungen/promotionsordnung/
Uni Leipzig,https://www.mathcs.uni-leipzig.de/fileadmin/Fakult%C3%A4t_MathInf/Promotionen/PromO-020513-1Aes161017.pdf,https://www.uni-leipzig.de/forschung/wissenschaftliche-laufbahn/promotion/wege-zur-promotion/promovieren-an-unseren-fakultaeten
Uni Luebeck,https://www.uni-luebeck.de/fileadmin/uzl_hochschulrecht/Recht_Universitaet/Leseabschriften/240220_PromO_MINT_2023_Leseabschrift_nach_1Ae.pdf,https://www.uni-luebeck.de/universitaet/hochschulrecht/promotion-und-habilitation/promotion.html
Uni Lueneburg,https://www.leuphana.de/graduate-school/promotion-organisieren.html,https://www.leuphana.de/fileadmin/user_upload/Aktuell/files/Gazetten/Gazette_2023_71_2023-07-20.pdf
Uni Magdeburg,https://www2.cs.uni-magdeburg.de/promotion/_/Promotionsordnung%20FIN%20(2018).pdf,https://www2.cs.uni-magdeburg.de/promotion.html
Uni Mainz,https://www.phmi.uni-mainz.de/files/2019/03/PromO_FB08_2013_12_02.pdf,https://www.phmi.uni-mainz.de/promotion/promotionsordnung/
Uni Marburg,https://www.uni-marburg.de/de/universitaet/administration/recht/studprueo/09-promotionsordnungen/mat_nat_promotionsordnung_2022_05_09_final_markierung-zu-allg-best-_veroeffentlichung.pdf,https://www.uni-marburg.de/de/universitaet/administration/recht/studprueo/09-promotionsordnungen
LMU Muenchen,https://www.mathematik-informatik-statistik.uni-muenchen.de/downloadformularepromotion2012/promotionsordnung_12_7_11.pdf,https://www.mathematik-informatik-statistik.uni-muenchen.de/promotion/allgemeines/index.html
TU Muenchen/Garching,https://intranet.in.tum.de/file/1xz735ws5vfyfkm844977izwj/Fakultaetenwegweiser/Promotion/2021-057-Promotionsordnung-FINAL-23.08.2021-1.PDF?version=vtt11b4xrbapfnxcvk8qz4jd0,https://intranet.in.tum.de/pages/1n8sv12o8x75l/Promotion
Uni BW Muenchen,https://www.unibw.de/studium/pruefungsamt/formulare/formulare/promotionsordnung-2023/a-promotionsordnung-2023-gueltig-ab-1-april-2023.pdf,https://www.unibw.de/studium/pruefungsamt/formulare/copy_of_formulare-1/
Uni Muenster,https://www.uni-muenster.de/imperia/md/content/wwu/ab_uni/ab2016/ausgabe03/beitrag05.pdf,https://www.uni-muenster.de/ZSB/material/m051b.htm
Uni Oldenburg,https://uol.de/f/2/dept/informatik/download/Promotionen/forms/Lesefassung_nichtamtlich_Gemeinsame_Promotionsordnung_FK_II_FK_V_FK_VI_08_2022.pdf?v=1663577332,https://uol.de/informatik/studium-lehre/promotion
Uni Osnabrueck,https://www.uni-osnabrueck.de/fileadmin/documents/public/1_universitaet/1.3_organisation/d4_akad._angelegenheiten/ordnungen/PromO-FB04-05-06_2009-10.pdf,https://www.uni-osnabrueck.de/universitaet/organisation/ordnungen/#c47324
Uni Paderborn,https://cs.uni-paderborn.de/fileadmin-eim/fakultaet/Fakultaet/Organisation/Ordnungen_und_gremien/2022_03_04_Lesefassung_Promotionsordnung_EIM.pdf,https://cs.uni-paderborn.de/studium/formalitaeten/ordnungen
Uni Passau,https://www.uni-passau.de/fileadmin/dokumente/beschaeftigte/Rechtsvorschriften/PromO/FPromO_FIM.pdf,https://www.uni-passau.de/verwaltung/studierenden-und-rechtsangelegenheiten/rechtsvorschriften/promotions-und-habilitationsordnungen
Uni Potsdam/H.-Plattner-Inst.,https://www.uni-potsdam.de/fileadmin/projects/digital-engineering/dokumente/Promotion/Promotionsordnung_DEF.pdf,https://hpi.de/studium/nach-dem-studium/promotion.html
Uni Potsdam,https://www.uni-potsdam.de/fileadmin/projects/ambek/Amtliche_Bekanntmachungen/2013/ambek-2013-19-1126-1133.pdf,https://www.uni-potsdam.de/de/studium/konkret/rechtsgrundlagen/promotionsordnungen
Uni Regensburg,https://www.uni-regensburg.de/assets/studium/pruefungsordnungen/promotion/0923_FPromO_FIDS_fv.pdf,https://www.uni-regensburg.de/studium/pruefungsordnungen/promotion/fakultaet-fuer-informatik-und-data-science/index.html
Uni Rostock,https://www.ief.uni-rostock.de/storages/uni-rostock/Alle_IEF/IEF/Ordnungen/Akademische_Ordnungen/IEF_Promotionsordnung_-_UNI_HRO_-_Amtliche_Bekanntmachungen_-_NR_25_2018.pdf,https://www.ief.uni-rostock.de/fakultaet/rechtsgrundlagen/akademische-ordnungen/
Uni des Saarlandes/Saarbruecken,https://www.uni-saarland.de/fileadmin/upload/verwaltung/fundstellen/Habil_PromotionsOrd/DB24_30.pdf,https://www.uni-saarland.de/verwaltung/fundstellen/habpromo-ordnungen.html
Uni Siegen,https://nt.uni-siegen.de/wp-content/uploads/sites/15/2023/03/49_2020_promotionsordnung_der_naturwissenschaftlich-technischen_fakultaet.pdf,https://nt.uni-siegen.de/promotion/
Uni Stuttgart,https://www.uni-stuttgart.de/forschung/nachwuchs/document/promotionsordnung-2019-dt.pdf,https://www.uni-stuttgart.de/studium/bewerbung/promotionsstudium/index.html
Uni Trier,https://www.uni-trier.de/fileadmin/studium/STUDIENVERLAUFSINFOS/ORDNUNGEN/Promotionsordnungen/PromO_FBIV/Promotionsordnung_FB_IV_2020-01-29.pdf,https://www.uni-trier.de/studium/beratung-service/service/ordnungen/promotionsordnungen/fachbereich-iv-promotionsordnung
Uni Tuebingen,https://uni-tuebingen.de/securedl/sdl-eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MTk4ODcwOTQsImV4cCI6MTcxOTk3NzA5MiwidXNlciI6MCwiZ3JvdXBzIjpbMCwtMV0sImZpbGUiOiJmaWxlYWRtaW5cL1VuaV9UdWViaW5nZW5cL0Zha3VsdGFldGVuXC9NYXROYXRcL1Byb21vdGlvbkhhYmlsaXRhdGlvbl9NdWVsbGVyLUh1Z2dlbmJlcmdlclwvMDAxTU5GLU1lcmtibGF0dF9Qcm9tb3Rpb24ucGRmIiwicGFnZSI6MTQ4MzZ9.FZO5l55zRMfSJYu--kcGM9rCcXxb80MLtw5BBqC8ET4/001MNF-Merkblatt_Promotion.pdf,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/promotionhabilitation/promotion/#c613471
Uni Ulm,https://www.uni-ulm.de/fileadmin/website_uni_ulm/zuv/zuv.dezIII.abt2u3/3-2oeffentlich/bekanntmachungen/2021/promotionsord_inginf_2021.pdf,https://www.uni-ulm.de/einrichtungen/zuv/dez1/recht-und-organisation/satzungen-und-ordnungen/studium-promotion-habilitation/promotionsordnungen/
Uni Weimar,https://www.uni-weimar.de/fileadmin/user/fak/medien/hauptseiten/Promotionen/PromO_02_2023.pdf,https://www.uni-weimar.de/de/medien/service/downloads/promotionsordnung/
Uni Wuerzburg,https://www.uni-wuerzburg.de/fileadmin/39030000/download/public/promotionsordnungen/Promo.-Ordnung-Fak._f._Mathe_u._Info.-aes1-20201014-netz.pdf,https://www.mathematik-informatik.uni-wuerzburg.de/studium/pruefungs-und-studienordnungen/
Uni Wuppertal,https://www.zgs.uni-wuppertal.de/fileadmin/zgs/documents/info_beratung/promotionsordnung/Promotionsordnung_FBE_02.05.2011.pdf,https://www.zgs.uni-wuppertal.de/de/info-beratung/promovieren-an-der-buw/promotionsordnungen-promotionsausschuesse/
